0,1382,1383,1384,1385,1386,1387,1388,1389,1390,1391,1392,1393,1394,1395,1396,1397,1398,1399,1400,1401,1402,1403,1404,1405,1406,1407,1408,1409,1410,1411,1412,1413,1414,1415,1416,1417,1418,1419,1420,1421,1422,1423,1424,1425,1426,1427,1428,1429,1430,1431,1432,1433,1434,1435,1436,1437,1438,1439,1440,1441,1442,1443,1444,1445,1446,1447,1448,1449,1450,1451,1452,1453,1454,1455,1456,1457,1458,1459,1460,1461,1462,1463,1464,1465,1466,1467,1468,1469,1470,1471,1472,1473,1474,1475,1476,1477,1478,1479,1480,1481,1482,1483,1484,1485,1486,1487,1488,1489,1490,1491,1492,1493,1494,1495,1496,1497,1498,1499,1500,1501,1502,1503,1504,1505,1506,1507,1508,1509,1510,1511,1512,1513,1514,1515,1516,1517,1518,1519,1520,1521,1522,1523,1524,1525,1526,1527,1528,1529,1530,1531,1532,1533,1534,1535,1536,1537,1538,1539,1540,1541,1542,1543,1544,1545,1546,1547,1548,1549,1550,1551,1552,1553,1554,1555,1556,1557,1558,1559,1560,1561,1562,1563,1564,1565,1566,1567,1568,1569,1570,1571,1572,1573,1574,1575,1576,1577,1578,1579,1580,1581,1582,1583,1584,1585,1586,1587,1588,1589,1590,1591,1592,1593,1594,1595,1596,1597,1598,1599,1600,1601,1602,1603,1604,1605,1606,1607,1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620,1621,1622,1623,1624,1625,1626,1627,1628,1629,1630,1631,1632,1633,1634,1635,1636,1637,1638
'Tfdp2',14,3,9,19,19,8,6,6,5,4,5,17,3,4,10,11,10,15,19,24,2,4,4,6,7,7,4,4,32,7,15,25,2,6,6,42,9,16,0,7,11,13,6,4,0,4,12,6,7,20,1,9,2,0,4,7,6,26,12,11,25,9,12,11,15,11,19,19,2,0,0,18,9,1,10,17,11,5,38,8,22,20,13,9,28,17,5,8,27,13,25,5,8,9,5,26,3,27,11,16,13,29,12,6,26,21,3,9,9,38,41,5,11,19,24,16,8,26,5,20,2,18,6,18,17,21,30,0,7,15,8,0,8,10,6,22,7,1,18,39,13,8,15,16,18,6,18,20,4,9,9,22,26,40,19,8,32,20,14,14,0,0,2,8,25,3,5,5,14,6,11,18,1,0,3,7,24,22,12,8,18,9,0,0,2,10,14,21,11,6,17,0,5,8,11,13,10,28,17,15,17,7,3,0,23,2,13,12,10,1,8,16,25,14,7,5,7,18,19,16,11,6,10,9,9,6,1,12,20,11,23,22,12,13,19,4,8,8,10,31,2,2,10,17,22,14,13,3,14,10,25,2,2,17,18,5,1
'Grhl1',8,4,2,22,12,3,13,5,3,1,13,10,4,1,5,12,4,3,3,22,2,15,4,14,17,6,16,17,19,17,20,24,5,4,1,27,19,17,8,7,11,19,0,8,0,1,9,13,18,6,10,6,8,3,8,8,24,31,15,15,7,22,35,19,18,4,22,9,8,0,6,37,15,2,12,7,21,5,7,18,8,24,7,21,29,13,11,22,12,13,14,8,9,10,0,19,9,25,20,0,24,13,23,18,18,11,13,1,15,27,15,14,34,17,28,41,42,15,11,28,2,33,7,20,15,25,23,9,17,16,11,17,12,15,13,29,17,2,14,45,27,11,4,20,10,11,34,20,6,5,13,13,26,22,10,12,8,13,30,12,0,0,0,17,46,1,4,10,33,28,9,5,0,10,4,14,18,21,11,5,17,0,5,2,4,3,9,30,11,1,12,0,7,0,18,12,11,25,17,21,39,18,4,14,15,2,6,14,18,20,36,19,15,9,0,0,12,34,21,8,17,6,9,6,11,9,0,7,17,14,26,24,9,29,8,5,3,2,27,27,1,1,4,16,3,14,18,27,36,21,23,9,8,3,5,4,12
'Sp8',30,20,8,5,20,7,10,6,19,3,18,15,0,0,13,11,8,8,3,24,3,28,0,15,3,16,6,6,20,18,15,22,2,7,7,23,7,12,0,0,6,12,0,2,0,7,12,0,9,5,12,33,9,1,5,21,16,14,7,16,24,9,19,15,18,14,16,19,21,8,0,17,15,5,19,10,2,9,15,18,13,14,19,19,34,10,13,11,24,4,21,4,14,10,0,12,11,20,17,5,20,21,16,9,20,5,17,0,16,19,19,11,3,7,13,12,13,22,23,11,6,17,5,7,7,32,20,18,13,13,13,9,10,11,6,10,7,2,31,37,24,7,10,15,19,30,18,5,8,10,3,13,11,14,13,22,12,5,10,16,0,5,0,17,7,0,0,5,30,15,24,4,0,0,7,9,9,10,24,25,16,12,0,6,5,9,3,10,24,2,13,0,13,12,2,13,11,36,24,12,13,12,2,2,7,0,6,7,42,6,7,18,18,15,11,5,5,15,16,22,14,9,0,15,7,14,3,21,7,10,37,13,9,29,10,10,22,0,13,24,15,7,4,14,8,13,16,20,22,35,15,2,2,37,18,7,0
'Irf2',4,5,17,5,4,9,8,7,12,1,12,4,6,0,1,1,0,4,8,15,7,2,1,11,1,7,5,8,7,16,27,9,3,1,3,11,11,12,2,2,5,6,4,3,0,10,9,6,14,10,4,0,9,3,0,3,2,14,13,12,3,9,26,7,17,7,9,1,4,1,0,7,3,3,1,5,7,9,0,13,8,16,9,16,5,5,24,1,10,20,16,2,2,5,11,14,1,3,15,8,16,28,6,10,8,9,4,0,6,14,6,2,2,6,11,7,8,9,8,6,0,8,3,14,6,24,12,7,12,9,19,5,3,2,5,21,2,2,9,14,7,3,1,6,7,27,27,11,2,3,2,5,8,12,1,5,17,12,9,9,5,0,0,10,4,0,17,8,13,10,8,9,0,0,18,0,9,15,15,5,15,0,0,5,2,7,11,11,15,3,5,3,2,11,3,2,19,0,14,8,20,6,2,0,9,0,3,4,9,17,15,3,13,1,7,0,3,4,10,11,5,3,1,13,17,7,7,1,10,1,9,5,3,16,4,0,0,2,5,37,0,4,3,7,4,2,8,13,12,26,5,4,0,2,8,6,0
'Zfp287',5,7,13,5,9,4,0,0,1,0,6,8,2,3,11,5,4,6,9,17,2,5,4,3,9,4,10,10,17,7,18,11,8,2,12,15,14,21,15,0,38,8,5,0,2,3,21,0,6,9,9,10,14,0,4,10,7,5,16,15,29,5,19,7,1,6,21,34,24,4,2,7,3,17,10,11,9,9,7,12,5,29,41,25,15,12,5,16,10,9,15,11,7,10,11,1,4,11,25,20,30,30,12,16,30,3,5,1,10,11,21,1,17,14,18,12,10,9,6,15,4,17,5,4,16,5,15,14,4,0,6,5,7,11,19,15,8,3,4,34,9,5,11,21,6,25,34,10,15,0,5,7,28,16,5,35,22,16,10,19,0,0,0,18,18,0,27,2,36,23,1,7,8,5,3,2,13,0,10,11,22,5,0,6,0,10,4,8,16,2,28,5,3,12,3,1,8,29,11,4,13,2,3,1,7,0,7,16,11,3,13,5,8,7,3,5,17,17,14,14,2,12,12,17,5,4,0,2,24,33,21,11,9,6,8,11,4,1,10,14,11,8,4,15,13,6,1,10,3,16,19,1,7,3,8,9,0
'Esr2',23,8,9,12,8,4,4,1,18,8,10,7,6,2,13,15,1,17,16,16,6,0,3,4,6,19,6,22,17,7,19,5,0,6,5,40,20,9,4,0,11,4,0,4,0,2,24,0,0,22,4,7,12,0,2,16,0,13,9,7,11,7,19,5,17,7,4,19,4,4,0,2,4,4,18,10,2,0,6,5,22,29,5,9,18,19,14,0,14,15,15,9,4,15,2,26,4,21,28,2,12,20,13,14,20,18,2,0,6,31,14,6,17,12,11,7,10,27,31,18,4,18,2,11,13,13,26,14,8,14,7,2,0,4,10,12,8,5,13,39,21,1,15,17,13,22,10,7,10,10,8,10,25,13,6,5,8,14,19,5,0,1,0,22,12,3,12,10,8,4,11,21,1,5,15,9,9,0,7,1,6,8,3,3,9,4,11,9,13,5,13,0,9,3,4,8,10,18,17,16,21,7,3,3,20,8,10,9,17,8,12,18,9,6,7,7,8,23,14,15,13,15,3,1,19,5,2,5,19,14,20,6,8,17,7,2,0,6,12,31,1,2,1,19,3,14,9,4,6,6,18,3,8,4,17,7,4
'Zfp128',17,6,0,14,4,1,5,6,3,4,1,7,4,1,3,13,8,16,14,11,4,2,0,11,16,11,22,2,19,7,16,4,3,0,0,21,7,14,2,0,11,17,1,3,5,4,11,10,2,7,8,1,14,9,10,5,4,5,13,10,6,6,13,8,11,0,3,4,20,0,4,11,3,4,11,5,4,0,11,10,7,9,2,6,19,13,5,5,3,11,12,1,14,10,9,14,10,7,11,2,15,22,4,9,20,3,7,4,12,21,18,0,2,7,13,26,1,5,23,3,3,9,8,12,8,24,10,11,25,19,2,13,0,8,2,24,6,5,12,24,6,2,13,13,8,17,6,9,4,7,9,9,7,7,2,16,13,23,4,19,0,6,0,9,11,0,6,6,13,18,7,14,0,5,7,8,8,16,7,4,18,4,0,10,0,5,5,9,17,7,5,0,1,3,0,1,4,10,25,10,19,5,3,10,13,1,5,6,18,18,14,11,7,9,23,12,1,8,11,9,5,5,13,0,8,7,0,6,23,14,33,10,16,15,11,16,5,6,16,21,5,4,1,7,0,11,3,18,19,7,23,1,4,3,1,6,4
'Vav1',6,9,7,4,6,5,3,4,7,10,12,3,7,7,19,10,6,15,4,16,8,11,1,5,22,6,6,5,24,7,11,8,15,10,5,32,13,26,0,2,11,12,5,7,1,2,5,2,10,10,13,17,9,0,6,1,14,8,4,14,12,19,12,19,11,3,23,9,11,0,0,10,4,10,9,9,4,9,23,16,6,28,7,9,18,1,21,11,21,17,7,10,7,6,21,17,11,15,12,5,12,24,8,8,11,21,26,8,18,10,10,7,24,4,5,6,5,12,9,4,3,19,12,6,18,18,27,7,9,6,15,13,6,2,0,23,6,1,4,35,9,10,17,2,4,12,15,10,13,9,1,1,9,13,1,7,20,8,17,18,0,8,0,11,8,4,8,2,10,6,17,3,0,5,4,21,10,16,3,11,4,3,7,3,10,1,12,7,10,17,22,0,4,6,12,7,11,19,17,4,20,14,1,14,12,4,5,6,29,6,10,5,7,11,7,1,6,10,3,10,14,12,12,1,17,1,0,14,15,10,22,9,16,8,7,5,0,10,11,4,14,1,6,8,4,9,25,11,12,11,13,2,5,11,0,1,0
'Sp1',0,0,7,3,24,10,1,9,7,0,3,16,3,1,3,14,13,11,4,15,7,0,0,10,0,10,10,8,25,10,13,32,1,9,6,24,18,13,6,3,19,15,0,2,0,7,18,0,5,4,6,0,26,0,11,13,7,9,5,13,11,5,8,14,7,0,9,17,7,0,8,3,8,14,13,12,3,8,18,16,5,31,23,11,17,15,12,19,20,7,8,22,3,12,6,12,16,9,9,8,9,16,27,18,22,9,14,3,19,13,16,6,17,14,10,19,23,14,7,14,0,36,4,7,16,16,17,10,20,20,7,13,7,10,8,21,24,1,19,24,29,9,9,26,6,30,19,12,6,0,13,17,9,11,8,24,24,15,14,12,0,5,0,14,3,0,19,5,20,16,7,19,5,5,9,8,6,20,11,25,23,0,0,0,2,4,6,20,4,3,21,0,7,7,5,0,15,16,28,23,12,24,16,8,12,1,6,7,22,6,21,6,9,6,5,14,7,19,1,25,12,8,7,6,10,7,4,11,23,16,25,3,20,11,6,5,2,1,6,26,0,12,3,22,8,21,12,8,20,21,22,0,5,8,24,4,3
'Ppargc1b',3,4,5,10,6,14,3,3,2,7,6,6,4,12,6,6,1,5,6,12,0,5,6,19,12,22,11,8,12,16,7,8,6,4,0,30,7,6,11,2,3,8,0,5,0,4,13,1,5,14,10,1,14,0,2,2,11,31,7,10,11,22,19,16,7,0,13,16,2,2,0,15,10,7,13,11,4,8,2,10,6,15,13,22,26,10,12,14,17,15,2,22,6,5,0,8,10,8,8,14,14,22,13,4,12,2,1,0,14,18,22,2,7,14,27,13,8,10,4,14,2,9,3,11,16,16,9,13,11,26,4,17,5,7,11,16,23,5,8,33,14,7,12,19,7,17,7,14,5,9,6,12,22,16,0,12,23,18,4,21,0,0,0,11,10,0,5,6,18,14,23,16,2,8,9,29,14,2,10,4,13,0,6,7,1,14,8,14,27,11,11,0,4,5,11,7,25,8,10,9,15,8,0,0,12,1,0,28,13,13,17,5,5,13,0,0,0,22,9,13,5,11,6,9,5,6,0,21,14,15,20,15,13,20,2,1,11,1,16,43,6,4,0,20,7,12,5,16,9,11,20,2,4,20,15,5,1
